INFO 2025-10-21 07:25:50,586 autoreload 30596 35496 Watching for file changes with StatReloader
INFO 2025-10-21 07:44:03,523 basehttp 8716 33132 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:44:03,576 basehttp 8716 33132 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:44:03,625 basehttp 8716 33132 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:44:17,075 basehttp 8716 38204 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:44:17,084 basehttp 8716 38204 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:44:17,207 basehttp 8716 38204 "OPTIONS /api/users/users/ HTTP/1.1" 200 0
INFO 2025-10-21 07:44:17,228 basehttp 8716 38204 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:44:17,246 basehttp 8716 38204 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:44:17,255 basehttp 8716 38204 "OPTIONS /api/courses/departments/ HTTP/1.1" 200 0
INFO 2025-10-21 07:44:17,275 basehttp 8716 38204 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:44:17,297 basehttp 8716 38204 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:44:38,750 basehttp 8716 38204 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:44:38,767 basehttp 8716 38204 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:44:38,899 basehttp 8716 38204 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:44:38,916 basehttp 8716 27800 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:44:38,988 basehttp 8716 27800 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:44:39,032 basehttp 8716 27800 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:46:02,750 basehttp 8716 27800 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:46:02,781 basehttp 8716 27800 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:46:08,335 basehttp 8716 27800 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:46:08,347 basehttp 8716 27800 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:46:08,455 basehttp 8716 27800 "OPTIONS /api/users/users/ HTTP/1.1" 200 0
INFO 2025-10-21 07:46:08,467 basehttp 8716 38204 "OPTIONS /api/users/users/ HTTP/1.1" 200 0
INFO 2025-10-21 07:46:08,478 basehttp 8716 27800 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:46:08,498 basehttp 8716 38204 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:46:08,594 basehttp 8716 38204 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:46:08,621 basehttp 8716 27800 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:46:41,478 basehttp 8716 33132 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:46:41,515 basehttp 8716 33132 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:46:41,702 basehttp 8716 33132 "OPTIONS /api/users/users/ HTTP/1.1" 200 0
INFO 2025-10-21 07:46:41,711 basehttp 8716 34440 "OPTIONS /api/users/users/ HTTP/1.1" 200 0
INFO 2025-10-21 07:46:41,804 basehttp 8716 33132 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:46:41,805 basehttp 8716 34440 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:46:41,853 basehttp 8716 34440 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:46:41,893 basehttp 8716 33132 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:49:28,467 basehttp 8716 27800 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:49:28,483 basehttp 8716 27800 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:49:28,639 basehttp 8716 27800 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:49:28,658 basehttp 8716 38204 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:49:28,765 basehttp 8716 38204 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:49:28,795 basehttp 8716 27800 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:49:57,068 basehttp 8716 27800 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:49:57,087 basehttp 8716 27800 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:49:57,239 basehttp 8716 27800 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:49:57,253 basehttp 8716 38204 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:49:57,297 basehttp 8716 38204 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:49:57,361 basehttp 8716 38204 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:50:38,775 basehttp 8716 38204 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:50:38,790 basehttp 8716 38204 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:50:38,886 basehttp 8716 38204 "OPTIONS /api/users/users/ HTTP/1.1" 200 0
INFO 2025-10-21 07:50:38,897 basehttp 8716 27800 "OPTIONS /api/users/users/ HTTP/1.1" 200 0
INFO 2025-10-21 07:50:38,907 basehttp 8716 38204 "GET /api/users/users/ HTTP/1.1" 200 14607
